,oid,sgn,formula,pretty_formula,yp,ypl
26,2310696,92,Mo8S16,MoS2,0.6213019,1.0
3,9000071,62,Mo4S8,MoS2,0.9413307,1.0
134,1533172,14,S4Mo4S4Mo4S8,MoS2,0.8601065,1.0
186,4340965,58,Mo2S4,MoS2,0.5165186,1.0
295,2102112,141,S8Mo4,MoS2,0.33339643,-1.0
225,2230972,19,S8Mo4,MoS2,0.2997764,-1.0
63,1010382,201,S4Mo2,MoS2,0.20010282,-1.0
112,1522709,65,S8Mo4,MoS2,0.18260585,-1.0
20,1011013,58,Mo2S4,MoS2,0.79711306,1.0
65,4329109,14,S8Mo4,MoS2,0.2213353,-1.0
126,1010450,227,Mo8S16,MoS2,0.4201918,-1.0
259,1526653,62,Mo4S16Mo4,MoS2,0.25902006,-1.0
137,1010456,12,Mo4S8,MoS2,0.24530958,-1.0
105,1526494,12,S12Mo6,MoS2,0.86716706,1.0
7,1530914,62,Mo4S8,MoS2,0.16424698,-1.0
185,1527831,63,Mo4S8,MoS2,0.6727751,1.0
153,9016059,62,S8Mo4,MoS2,0.46888387,-1.0
54,2106203,156,S2MoS2Mo2S3Mo3SMoS6,MoS2,0.07335596,-1.0
30,1525833,60,S8Mo4,MoS2,0.5326843,1.0
100,1530263,8,S8Mo4,MoS2,0.85493666,1.0
237,1010912,14,Mo4S8,MoS2,0.1179218,-1.0
56,1526498,62,S4Mo4S4,MoS2,0.6337237,1.0
60,2106934,42,Mo4S8,MoS2,0.1471487,-1.0
262,9009088,92,Mo4S8,MoS2,0.5334757,1.0
264,1523693,63,Mo4S8,MoS2,0.12610991,-1.0
22,1510852,194,S8Mo4,MoS2,0.86851835,1.0
208,1544906,62,Mo4S8,MoS2,0.93773186,1.0
167,2310976,62,S4Mo4S4,MoS2,0.13381144,-1.0
38,1510803,59,Mo2S4,MoS2,0.27466676,-1.0
163,9000595,1,Mo4S8,MoS2,0.7377443,1.0
124,1540264,14,S8Mo4,MoS2,0.051567636,-1.0
154,1522382,194,S4Mo2,MoS2,0.6027202,1.0
59,1008935,58,Mo2S4,MoS2,0.47197282,-1.0
158,1521538,194,S8Mo4,MoS2,0.59884036,1.0
51,9009209,62,Mo4S8,MoS2,0.24648505,-1.0
219,9006302,6,Mo4S8,MoS2,0.8891724,1.0
74,1530871,92,Mo4S8,MoS2,0.9277303,1.0
282,1526196,15,Mo4S8,MoS2,0.54127383,1.0
4,1542132,213,S8Mo4,MoS2,0.8228488,1.0
276,1526848,72,S8Mo4,MoS2,0.48202634,-1.0
284,1011298,129,S4Mo2,MoS2,0.5281824,1.0
281,2100984,136,S4Mo2,MoS2,0.83048207,1.0
120,1010265,63,Mo4S8,MoS2,0.7346856,1.0
13,9012540,34,Mo2S4,MoS2,0.6656972,1.0
160,1514239,12,Mo6S12,MoS2,0.9801192,1.0
