,yp_proba,yp_label,y_true
104,0.0024094011,-1.0,-1
105,0.9999981,1.0,1
106,0.008312197,-1.0,-1
107,0.9999999,1.0,1
108,0.99993145,1.0,1
109,0.0031840224,-1.0,-1
110,0.997733,1.0,1
111,0.0019268511,-1.0,-1
112,0.99999976,1.0,1
113,0.0036901573,-1.0,-1
114,1.0,1.0,1
115,0.99999976,1.0,1
116,0.0012291506,-1.0,-1
117,0.015956262,-1.0,-1
118,0.99997866,1.0,1
119,0.002757292,-1.0,-1
120,0.99999976,1.0,1
121,0.026689239,-1.0,-1
122,0.63681245,1.0,1
123,0.999998,1.0,1
124,1.0,1.0,1
125,0.9999999,1.0,1
126,0.16717793,-1.0,-1
127,0.9999988,1.0,1
128,0.03176646,-1.0,-1
129,1.0,1.0,1
130,0.00058135286,-1.0,-1
131,0.022611003,-1.0,-1
132,0.0018925456,-1.0,-1
133,0.007857863,-1.0,-1
134,0.99900764,1.0,1
135,0.9999863,1.0,1
136,0.9999999,1.0,1
137,0.0041027437,-1.0,-1
138,0.0073070587,-1.0,-1
139,0.9999516,1.0,1
140,0.9998642,1.0,1
141,0.99999976,1.0,1
142,0.9999994,1.0,1
143,1.0,1.0,1
144,0.9999548,1.0,1
145,0.9999999,1.0,1
146,0.9999994,1.0,1
147,0.02092379,-1.0,-1
148,0.99989545,1.0,1
149,0.9999999,1.0,1
150,0.22818911,-1.0,-1
151,0.99999964,1.0,1
152,0.021291574,-1.0,-1
153,0.00043343828,-1.0,-1
154,0.01801721,-1.0,-1
155,0.9999993,1.0,1
156,0.9999989,1.0,1
157,0.04002893,-1.0,-1
158,0.999998,1.0,1
159,0.9999069,1.0,1
160,0.114592984,-1.0,-1
161,0.006705978,-1.0,-1
162,0.011236882,-1.0,-1
163,0.013151573,-1.0,-1
164,0.005005865,-1.0,-1
165,0.9999994,1.0,1
166,0.9999995,1.0,1
167,0.904796,1.0,1
168,0.9854403,1.0,1
169,0.026689239,-1.0,-1
170,0.0037101458,-1.0,-1
171,0.00053986773,-1.0,-1
172,0.9999995,1.0,1
173,0.0063788937,-1.0,-1
174,0.023663882,-1.0,-1
175,1.0,1.0,1
176,0.99992037,1.0,1
177,0.16853455,-1.0,-1
178,0.9999987,1.0,1
179,0.011186425,-1.0,-1
180,0.011503463,-1.0,-1
181,0.07885048,-1.0,-1
182,0.9999962,1.0,1
183,0.9999311,1.0,1
184,0.0061207185,-1.0,-1
185,0.013151573,-1.0,-1
186,0.0642716,-1.0,-1
187,0.0014605117,-1.0,-1
188,1.0,1.0,1
189,0.10544675,-1.0,-1
190,1.0,1.0,1
191,1.0,1.0,1
192,0.021666508,-1.0,-1
193,0.0031976025,-1.0,-1
194,0.012987374,-1.0,-1
195,0.0022164404,-1.0,-1
196,0.99999976,1.0,1
197,1.0,1.0,1
198,0.005005865,-1.0,-1
199,0.99999523,1.0,1
200,0.0019900524,-1.0,-1
201,0.06983285,-1.0,-1
202,0.9870586,1.0,1
203,0.9999949,1.0,1
204,1.0,1.0,1
205,0.9999999,1.0,1
206,0.026314534,-1.0,-1
207,1.0,1.0,1
208,0.0011349207,-1.0,-1
209,0.9999654,1.0,1
210,0.9999999,1.0,1
211,0.9999187,1.0,1
212,0.9999994,1.0,1
213,0.05797563,-1.0,-1
214,0.9999995,1.0,1
215,0.012071663,-1.0,-1
216,0.12896356,-1.0,-1
217,0.097041726,-1.0,-1
218,0.9998809,1.0,1
219,0.99999845,1.0,1
220,0.009630282,-1.0,-1
221,0.09203083,-1.0,-1
222,1.0,1.0,1
223,0.0072613065,-1.0,-1
224,0.17830485,-1.0,1
225,0.0006514051,-1.0,-1
226,0.99999917,1.0,1
227,0.00035885238,-1.0,-1
228,0.9999962,1.0,1
229,0.0018925456,-1.0,-1
230,0.0019900524,-1.0,-1
231,0.99999905,1.0,1
232,0.0642716,-1.0,-1
233,0.99999833,1.0,1
234,0.9999894,1.0,1
235,0.0003923656,-1.0,-1
236,0.99999917,1.0,1
237,0.01882414,-1.0,-1
238,0.0014902267,-1.0,-1
239,0.99999917,1.0,1
240,0.00050661445,-1.0,-1
241,0.064282715,-1.0,-1
242,0.9991597,1.0,1
243,0.04039783,-1.0,-1
244,0.025166744,-1.0,-1
245,0.0009846737,-1.0,-1
246,0.9999999,1.0,1
247,0.0005331074,-1.0,-1
248,0.0011210435,-1.0,-1
249,0.009851163,-1.0,-1
250,0.99999976,1.0,1
251,0.999997,1.0,1
252,0.99999964,1.0,1
253,1.0,1.0,1
254,0.9464608,1.0,1
255,0.0008682982,-1.0,-1
256,0.0025316963,-1.0,-1
257,0.0070761503,-1.0,-1
258,0.01193138,-1.0,-1
259,0.9999999,1.0,1
260,0.00069593184,-1.0,-1
261,1.0,1.0,1
262,0.0043558734,-1.0,-1
263,0.002037789,-1.0,-1
264,0.011186425,-1.0,-1
265,0.0063043023,-1.0,-1
266,0.9999999,1.0,1
267,0.9985494,1.0,1
268,0.19312274,-1.0,-1
269,0.0010464834,-1.0,-1
270,0.9999982,1.0,1
271,1.0,1.0,1
272,0.9946419,1.0,1
273,0.0042519374,-1.0,-1
274,0.0006517451,-1.0,-1
275,0.99999666,1.0,1
276,0.99998975,1.0,1
277,0.018427517,-1.0,-1
278,0.0026787033,-1.0,-1
279,0.01801721,-1.0,-1
280,0.070907794,-1.0,-1
281,0.07792813,-1.0,-1
282,0.9999994,1.0,1
283,0.99994147,1.0,1
284,0.9999931,1.0,1
285,0.041697882,-1.0,-1
286,0.001315825,-1.0,-1
287,0.023663882,-1.0,-1
288,0.9999808,1.0,1
289,0.0031976025,-1.0,-1
290,0.003190919,-1.0,-1
291,0.00035885238,-1.0,-1
292,0.13887738,-1.0,-1
293,0.0005394596,-1.0,-1
294,0.9999682,1.0,1
295,0.015956262,-1.0,-1
296,0.99999845,1.0,1
297,0.99924517,1.0,1
298,0.99999726,1.0,1
299,0.027856153,-1.0,-1
300,0.9990055,1.0,1
301,0.00050460885,-1.0,-1
302,0.9999999,1.0,1
303,0.00046906056,-1.0,-1
304,0.0073070587,-1.0,-1
305,0.123806305,-1.0,1
306,0.99993265,1.0,1
307,0.012233685,-1.0,-1
308,0.9999999,1.0,1
309,0.0011724365,-1.0,-1
310,0.011741347,-1.0,-1
311,0.9999989,1.0,1
312,0.99999714,1.0,1
313,0.022611003,-1.0,-1
314,0.004047724,-1.0,-1
315,1.0,1.0,1
316,0.00074447546,-1.0,-1
317,0.08852255,-1.0,-1
318,0.009356138,-1.0,-1
319,0.0011724365,-1.0,-1
320,0.0012176086,-1.0,-1
321,0.9561621,1.0,1
322,0.9999994,1.0,1
323,0.9999999,1.0,1
324,0.078869954,-1.0,-1
325,0.0008682982,-1.0,-1
326,0.9999995,1.0,1
327,0.0008001686,-1.0,-1
328,0.99999607,1.0,1
329,0.0005698481,-1.0,-1
330,0.0064815814,-1.0,-1
331,0.012960402,-1.0,-1
332,0.047572963,-1.0,-1
333,0.99999964,1.0,1
334,0.9999999,1.0,1
335,0.027404543,-1.0,-1
336,0.9999677,1.0,1
337,0.9999981,1.0,1
338,0.008992276,-1.0,-1
339,0.99999905,1.0,1
340,0.9999981,1.0,1
341,0.009871752,-1.0,1
342,1.0,1.0,1
343,0.0052958904,-1.0,-1
344,0.002757292,-1.0,-1
345,0.02922511,-1.0,-1
346,0.99999774,1.0,1
