,yp_proba,yp_label,y_true
83,0.97864294,1.0,1
84,0.99997556,1.0,1
85,0.9999931,1.0,1
86,0.99853337,1.0,1
87,0.9884983,1.0,1
88,0.99024475,1.0,1
89,0.981546,1.0,1
90,0.985623,1.0,1
91,0.96021795,1.0,1
92,0.9475304,1.0,1
93,0.9999765,1.0,1
94,0.99966383,1.0,1
95,0.9071226,1.0,1
96,0.969928,1.0,1
97,0.70975274,1.0,1
98,0.99161726,1.0,1
99,0.9634513,1.0,1
100,0.8029031,1.0,1
101,0.94808877,1.0,1
102,0.9999399,1.0,1
103,0.99997973,1.0,1
104,0.99941325,1.0,1
105,0.98431826,1.0,1
106,0.9740276,1.0,1
107,0.847492,1.0,1
108,0.9999535,1.0,1
109,0.9987551,1.0,1
110,0.9521937,1.0,1
111,0.9983348,1.0,1
112,0.9901635,1.0,1
113,0.61538064,1.0,1
114,0.9604058,1.0,1
115,0.99966943,1.0,1
116,0.9892097,1.0,1
117,0.9644284,1.0,1
118,0.9812044,1.0,1
119,0.99502546,1.0,1
120,0.19606994,-1.0,1
121,0.9909051,1.0,1
122,0.99770087,1.0,1
123,0.9999925,1.0,1
124,0.44542694,-1.0,1
125,0.6529554,1.0,1
126,0.47520524,-1.0,1
127,0.9917549,1.0,1
128,0.9200184,1.0,1
129,0.57386816,1.0,1
130,0.5803021,1.0,1
131,0.016947445,-1.0,1
132,0.65923303,1.0,1
133,0.8896807,1.0,1
134,0.784967,1.0,1
135,0.99715173,1.0,1
136,0.98993355,1.0,1
137,0.8888013,1.0,1
138,0.3138481,-1.0,1
139,0.98337424,1.0,1
140,0.9998462,1.0,1
141,0.9446164,1.0,1
142,0.69072956,1.0,1
143,0.98516613,1.0,1
144,0.83992624,1.0,1
145,0.8450239,1.0,1
146,0.96763134,1.0,1
147,0.99497414,1.0,1
148,0.99668103,1.0,1
149,0.79639447,1.0,1
150,0.108934745,-1.0,1
151,0.99940085,1.0,1
152,0.5659158,1.0,1
153,0.5266852,1.0,1
154,0.26425126,-1.0,1
155,0.0615085,-1.0,1
156,0.998539,1.0,1
157,0.99995303,1.0,1
158,0.98266405,1.0,1
159,0.9732915,1.0,1
160,0.9701231,1.0,1
161,0.99999976,1.0,1
162,0.99867094,1.0,1
163,0.8573085,1.0,1
164,0.92515695,1.0,1
165,0.9995271,1.0,1
166,0.99991083,1.0,1
167,0.9999529,1.0,1
168,0.99997807,1.0,1
169,0.98829913,1.0,1
